(17, 32.25, 1.25, 0.25, [-55, -48, 72, -64])
(17, 32.5, 1.5, 0.25, [58, -48, 67, -64])
(17, 32.75, 1.75, 0.25, [-58, -48, 69, 61])
(17, 33, 2, 0.25, [0, 45, 57, -61, -69, 0])
(17, 33.25, 2.25, 0.25, [0, -45, -57, 69, 73, 76, 81, 0])
(17, 33.5, 2.5, 0.25, [0, 43, 55, 70, 73, 76, 82, 0])
(17, 33.75, 2.75, 0.25, [0, -43, -55, 69, 73, 76, 81, 0])
(18, 34, 1, 0.5, [42, 54, 76, 78, 84, 88])
(18, 34.5, 1.5, 0.25, [54, 60, 62, 74, 78, 84, 86])
(18, 34.75, 1.75, 0.25, [-54, -60, -62, 69, 72, 78, 81])
(18, 35, 2, 0.25, [50, 62, -69, -72, -78, -81])
(18, 35.25, 2.25, 0.25, [-50, -62, 68, 80])
(18, 35.5, 2.5, 0.25, [48, 60, 69, 78, 81])
(18, 35.75, 2.75, 0.25, [-48, -60, 72, 78, 84])
(19, 36, 1, 0.5, [47, 59, 76, 79, 88])
(19, 36.5, 1.5, 0.25, [55, 59, 65, 74, 77, 86])
(19, 36.75, 1.75, 0.25, [-55, -59, -65, 81, 89, 93])
(19, 37, 2, 0.25, [43, 55, -81, -89, -93])
(19, 37.25, 2.25, 0.25, [-43, -55, 79, 88, 91])
(19, 37.5, 2.5, 0.25, [55, 59, 65, 76, 79, 88])
(19, 37.75, 2.75, 0.25, [-55, -59, -65, 74, 77, 86])
(20, 38, 1, 0.5, [48, 60, 72, 76, 84])
(20, 38.5, 1.5, 0.5, [55, -72, -76, -84])
(20, 39, 2, 0.25, [48, -72, -76, -84])
(20, 39.25, 2.25, 0.25, [-48, 67])
(20, 39.5, 2.5, 0.25, [55, 59, 62])
(20, 39.75, 2.75, 0.25, [-55, -59, 63])
(21, 40, 1, 0.5, [48, 60, 0, 72, 76, 84])
(21, 40.5, 1.5, 0.5, [55, 0, -72, -76, -84])
(21, 41, 2, 0.5, [48, 0, -72, -76, -84])
(21, 41.5, 2.5, 0.25, [-48, 76, 72, 84])
(21, 41.75, 2.75, 0.25, [-48, -76, 70, 82])
(22, 42, 1, 0.5, [41, 53, 69, 72, 77, 81])
(22, 42.5, 1.5, 0.5, [57, 60, 65, 69, 72, 77, 81])
(22, 43, 2, 0.5, [41, 53, 72, 77, 81, 84])
(22, 43.5, 2.5, 0.5, [39, 51, 72, 78, 81, 84])
(23, 44, 1, 0.5, [52, 40, 52, 0, 72, 79, 84])
(23, 44.5, 1.5, 0.5, [55, 60, 64, -40, -52, 0, -72, -79, -84])
(23, 45, 2, 0.5, [51, 39, 51, 83, 72, 78])
(23, 45.5, 2.5, 0.5, [60, 63, 66, -39, -51, 81, -72, -78])
(24, 46, 1, 0.5, [50, 38, 50, 81, 72, 77])
(24, 46.5, 1.5, 0.25, [60, 62, 65, -38, -50, -81, -72, -77])
(24, 46.75, 1.75, 0.25, [-60, -62, -65, -38, -50, 81, -72, -77])
(24, 47, 2, 0.25, [43, 31, 43, 81, 71, 77])
(24, 47.25, 2.25, 0.25, [-43, -31, -43, 79, -71, -77])
(24, 47.5, 2.5, 0.25, [59, 62, 65, -31, -43, 83, -71, -77])
(24, 47.75, 2.75, 0.25, [-59, -62, -65, -31, -43, 81, -71, -77])
(25, 48, 1, 0.5, [48, 36, 48, 81, 72, 76])
(25, 48.5, 1.5, 0.25, [55, 60, 64, -36, -48, -81, -72, -76])
(25, 48.75, 1.75, 0.25, [-55, -60, -64, -36, -48, 81, -72, -76])
(25, 49, 2, 0.25, [40, 52, 0, 81, 72, 76])
(25, 49.25, 2.25, 0.25, [-40, -52, 0, 79, -72, -76])
(25, 49.5, 2.5, 0.25, [36, 48, 0, 72, 84, 76])
(25, 49.75, 2.75, 0.25, [-36, -48, 0, 71, 82, -76])
(26, 50, 1, 0.5, [41, 53, 69, 72, 77, 81])
(26, 50.5, 1.5, 0.5, [57, 60, 65, 69, 72, 77, 81])
(26, 51, 2, 0.5, [41, 53, 72, 77, 81, 84])
(26, 51.5, 2.5, 0.5, [39, 51, 72, 78, 81, 84])
(27, 52, 1, 0.5, [52, 40, 52, 0, 72, 79, 84])
(27, 52.5, 1.5, 0.5, [55, 60, 64, -40, -52, 0, -72, -79, -84])
(27, 53, 2, 0.5, [51, 39, 51, 83, 72, 78])
(27, 53.5, 2.5, 0.5, [60, 63, 66, -39, -51, 81, -72, -78])
(28, 54, 1, 0.5, [0, 38, 50, 0, 72, 77, 81])
(28, 54.5, 1.5, 0.5, [0, 40, 52, 0, 72, 76, 81])
(28, 55, 2, 0.5, [52, 40, 52, 80, 74, 76])
(28, 55.5, 2.5, 0.25, [56, 62, 64, -40, -52, -80, -74, -76])
(28, 55.75, 2.75, 0.25, [-56, -62, -64, -40, -52, 83, -74, -76])
(29, 56, 1, 0.25, [45, 57, 0, 72, 76, 81])
(29, 56.25, 1.25, 0.25, [52, 0, -72, -76, -81])
(29, 56.5, 1.5, 0.25, [48, 0, -72, -76, -81])
(29, 56.75, 1.75, 0.25, [45, 0, -72, -76, -81])
(29, 57, 2, 0.25, [36, 48, 81, 72, 76])
(29, 57.25, 2.25, 0.25, [-36, -48, 79, -72, -76])
(29, 57.5, 2.5, 0.25, [-36, -48, 72, 84, 76])
(29, 57.75, 2.75, 0.25, [-36, -48, 70, -76])
(30, 58, 1, 0.5, [41, 53, 69, 72, 77, 81])
(30, 58.5, 1.5, 0.5, [57, 60, 65, 69, 72, 77, 81])
(30, 59, 2, 0.5, [41, 53, 72, 77, 81, 84])
(30, 59.5, 2.5, 0.5, [39, 51, 72, 78, 81, 84])
(31, 60, 1, 0.5, [52, 40, 52, 0, 72, 79, 84])
(31, 60.5, 1.5, 0.5, [55, 60, 64, -40, -52, 0, -72, -79, -84])
(31, 61, 2, 0.5, [51, 39, 51, 83, 72, 78])
(31, 61.5, 2.5, 0.5, [60, 63, 66, -39, -51, 81, -72, -78])
(32, 62, 1, 0.5, [50, 38, 50, 81, 72, 77])
(32, 62.5, 1.5, 0.25, [60, 62, 65, -38, -50, -81, -72, -77])
(32, 62.75, 1.75, 0.25, [-60, -62, -65, -38, -50, 81, -72, -77])
(32, 63, 2, 0.25, [43, 31, 43, 81, 71, 77])
(32, 63.25, 2.25, 0.25, [-43, -31, -43, 79, -71, -77])
(32, 63.5, 2.5, 0.25, [59, 62, 65, -31, -43, 83, -71, -77])
(32, 63.75, 2.75, 0.25, [-59, -62, -65, -31, -43, 81, -71, -77])
(33, 64, 1, 0.5, [48, 36, 48, 81, 72, 76])
(33, 64.5, 1.5, 0.25, [55, 60, 64, -36, -48, -81, -72, -76])
(33, 64.75, 1.75, 0.25, [-55, -60, -64, -36, -48, 81, -72, -76])
(33, 65, 2, 0.25, [52, 40, 52, 81, 72, 76])
(33, 65.25, 2.25, 0.25, [-52, -40, -52, 79, -72, -76])
(33, 65.5, 2.5, 0.25, [52, 55, -40, -52, 60, 72, 0])
(33, 65.75, 2.75, 0.25, [-52, -55, -40, -52, 62, 74, 0])
(34, 66, 1, 0.25, [42, 63, 69, 72, 75])
(34, 66.25, 1.25, 0.25, [45, -63, -69, -72, -75])
(34, 66.5, 1.5, 0.5, [54, -63, -69, -72, -75])
(34, 67, 2, 0.25, [51, 66, 69, 72, 78])
(34, 67.25, 2.25, 0.25, [54, -66, -69, -72, -78])
(34, 67.5, 2.5, 0.5, [63, -66, -69, -72, -78])
(35, 68, 1, 0.25, [66, 69, 72, 75, 81])
(35, 68.25, 1.25, 0.25, [63, -69, -72, -75, -81])
(35, 68.5, 1.5, 0.25, [60, -69, -72, -75, -81])
(35, 68.75, 1.75, 0.25, [57, -69, -72, -75, -81])
(35, 69, 2, 0.25, [63, -69, -72, -75, -81])
(35, 69.25, 2.25, 0.25, [60, -69, -72, -75, -81])
(35, 69.5, 2.5, 0.25, [57, -69, -72, -75, -81])
(35, 69.75, 2.75, 0.25, [54, -69, -72, -75, -81])
(36, 70, 1, 0.5, [55, 55, 69, 81, 72, 76])
(36, 70.5, 1.5, 0.5, [60, 64, -55, 67, 79, -72, -76])
(36, 71, 2, 0.25, [43, 43, 76, 67, 71])
(36, 71.25, 2.25, 0.25, [-43, -43, 74, 65, 71])
(36, 71.5, 2.5, 0.25, [55, -43, -74, -65, -71])
(36, 71.75, 2.75, 0.25, [-55, -43, 76, -65, -71])
(37, 72, 1, 0.5, [48, 55, 64, 72])
(37, 72.5, 1.5, 0.25, [0, 64, 76])
(37, 72.75, 1.75, 0.25, [0, 65, 77])
(37, 73, 2, 0.25, [0, 66, 78])
(37, 73.25, 2.25, 0.25, [0, 67, 79])
(37, 73.5, 2.5, 0.25, [36, 48, 72, 76, 84])
(37, 73.75, 2.75, 0.25, [-36, -48, 70, 76, 82])
(38, 74, 1, 0.5, [55, 48, 64, 72, 0])
(38, 74.5, 1.5, 0.5, [-55, 43, -64, -72, 0])
(38, 75, 2, 0.5, [-55, 36, -64, -72, 0])
(38, 75.5, 2.5, 0.25, [0, -36, 67, 58, 64])
(38, 75.75, 2.75, 0.25, [0, -36, 68, -58, -64])
(39, 76, 1, 0.25, [48, 57, 41, 65, 69])
(39, 76.25, 1.25, 0.25, [-48, -57, -41, 67, 70])
(39, 76.5, 1.5, 0.25, [48, 53, 57, -41, 69, 72])
(39, 76.75, 1.75, 0.25, [-48, -53, -57, -41, 65, 69])
(39, 77, 2, 0.25, [36, 36, -65, -69])
(39, 77.25, 2.25, 0.25, [-36, -36, 60, 65, 69])
(39, 77.5, 2.5, 0.5, [48, 53, -36, 62, 65, 69])
(40, 78, 1, 0.25, [41, 41, 65, 69])
(40, 78.25, 1.25, 0.25, [-41, -41, 60, 65, 69])
(40, 78.5, 1.5, 0.25, [48, 53, -41, 61, 65, 69])
(40, 78.75, 1.75, 0.25, [-48, -53, -41, 62, 65, 69])
(40, 79, 2, 0.25, [36, 36, -62, -65, -69])
(40, 79.25, 2.25, 0.25, [-36, -36, 63, 65, 69])
(40, 79.5, 2.5, 0.25, [48, 53, -36, -63, -65, -69])
(40, 79.75, 2.75, 0.25, [-48, -53, -36, 62, 65, 69])
(41, 80, 1, 0.25, [34, 65, -69, -62])
(41, 80.25, 1.25, 0.25, [-34, 67, -62])
(41, 80.5, 1.5, 0.25, [46, 65, -62])
(41, 80.75, 1.75, 0.25, [-46, 65, 67, 61])
(41, 81, 2, 0.25, [34, 61, -65, -67, 0])
(41, 81.25, 2.25, 0.25, [-34, 53, 61, 0])
(41, 81.5, 2.5, 0.25, [46, 55, 61, 0])
(41, 81.75, 2.75, 0.25, [-46, 57, 60, 0])
(42, 82, 1, 0.25, [41, 41, 0, -57, -60])
(42, 82.25, 1.25, 0.25, [-41, -41, 77, 81, -57, -60])
(42, 82.5, 1.5, 0.25, [48, 53, 57, -41, 76, 81, -57, -60])
(42, 82.75, 1.75, 0.25, [-48, -53, -57, -41, 74, 81, -57, -60])
(42, 83, 2, 0.25, [36, 36, -74, -81, -57, -60])
(42, 83.25, 2.25, 0.25, [-36, -36, 0, 70, 74])
(42, 83.5, 2.5, 0.25, [48, 52, 58, -36, 0, 69, 72])
(42, 83.75, 2.75, 0.25, [-48, -52, -58, -36, 0, 67, 70])
(43, 84, 1, 0.25, [48, 57, 41, 65, 69])
(43, 84.25, 1.25, 0.25, [-48, -57, -41, 67, 70])
(43, 84.5, 1.5, 0.25, [48, 53, 57, -41, 69, 72])
(43, 84.75, 1.75, 0.25, [-48, -53, -57, -41, 65, 69])
(43, 85, 2, 0.25, [36, 36, -65, -69])
(43, 85.25, 2.25, 0.25, [-36, -36, 60, 65, 69])
(43, 85.5, 2.5, 0.5, [48, 53, -36, 62, 65, 69])
(44, 86, 1, 0.25, [41, 41, 65, 69])
(44, 86.25, 1.25, 0.25, [-41, -41, 60, 65, 69])
(44, 86.5, 1.5, 0.25, [53, -41, 61, 65, 69])
(44, 86.75, 1.75, 0.25, [-53, -41, 62, 65, 69])
(44, 87, 2, 0.25, [42, 42, -62, -65, -69])
(44, 87.25, 2.25, 0.25, [-42, -42, 60, 63, 69])
(44, 87.5, 2.5, 0.25, [54, -42, -60, -63, -69])
(44, 87.75, 2.75, 0.25, [-54, -42, 60, 64, 69])
(45, 88, 1, 0.25, [43, 43, -69, -60, -64])
(45, 88.25, 1.25, 0.25, [-43, -43, 67, -60, -64])
(45, 88.5, 1.5, 0.25, [55, -43, 66, -60, -64])
(45, 88.75, 1.75, 0.25, [-55, -43, 67, -60, -64])
(45, 89, 2, 0.25, [43, 43, 65, 67, 71, 0])
(45, 89.25, 2.25, 0.25, [-43, -43, 67, 71, 76, 0])
(45, 89.5, 2.5, 0.25, [55, -43, -67, -71, -76, 0])
(45, 89.75, 2.75, 0.25, [-55, -43, 65, 71, 74, 0])
(46, 90, 1, 0.5, [48, 74, 64, 70])
(46, 90.5, 1.5, 0.5, [-48, 72, -64, -70])
(46, 91, 2, 0.5, [36, 48, 67, 58, 64])
(46, 91.5, 2.5, 0.5, [-36, -48, 68, -58, -64])
(47, 92, 1, 0.25, [48, 57, 41, 65, 69])
(47, 92.25, 1.25, 0.25, [-48, -57, -41, 67, 70])
(47, 92.5, 1.5, 0.25, [48, 53, 57, -41, 69, 72])
(47, 92.75, 1.75, 0.25, [-48, -53, -57, -41, 65, 69])
(47, 93, 2, 0.25, [36, 36, -65, -69])
(47, 93.25, 2.25, 0.25, [-36, -36, 60, 65, 69])
(47, 93.5, 2.5, 0.5, [48, 53, -36, 62, 65, 69])
(48, 94, 1, 0.25, [41, 41, 65, 69])
(48, 94.25, 1.25, 0.25, [-41, -41, 60, 65, 69])
(48, 94.5, 1.5, 0.25, [48, 53, -41, 61, 65, 69])
(48, 94.75, 1.75, 0.25, [-48, -53, -41, 62, 65, 69])
(48, 95, 2, 0.25, [48, 48, -62, -65, -69])
(48, 95.25, 2.25, 0.25, [-48, -48, 63, 65, 69])
(48, 95.5, 2.5, 0.25, [53, 57, -48, -63, -65, -69])
(48, 95.75, 2.75, 0.25, [-53, -57, -48, 62, 65, 69])
(49, 96, 1, 0.25, [46, -65, -69, -62])
(49, 96.25, 1.25, 0.25, [-46, 67, -62])
(49, 96.5, 1.5, 0.25, [50, 65, -62])
(49, 96.75, 1.75, 0.25, [-50, 65, 67, 62])
(49, 97, 2, 0.5, [46, 58, -62, -65, -67, 0])
(49, 97.5, 2.5, 0.5, [46, 58, 62, 64, 68, 0])
(50, 98, 1, 0.25, [57, 45, 57, 0, 61, 64, 69])
(50, 98.25, 1.25, 0.25, [-57, -45, -57, 69, 73, -61, -64, -69])
(50, 98.5, 1.5, 0.25, [52, 57, -45, -57, 73, 76, -61, -64, -69])
(50, 98.75, 1.75, 0.25, [-52, -57, -45, -57, 73, 81, -61, -64, -69])
(50, 99, 2, 0.25, [55, 43, 55, -73, -81, -61, -64, -69])
(50, 99.25, 2.25, 0.25, [-55, -43, -55, 0, 61, 64])
(50, 99.5, 2.5, 0.5, [52, 57, -43, -55, 0, 61, 69])
(51, 100, 1, 0.5, [42, 54, 62, 69])
(51, 100.5, 1.5, 0.25, [50, 54, 60, 66, 72, 74])
(51, 100.75, 1.75, 0.25, [-50, -54, -60, 66, 72, 75])
(51, 101, 2, 0.25, [38, 50, -66, -72, -75])
(51, 101.25, 2.25, 0.25, [-38, -50, 74])
(51, 101.5, 2.5, 0.25, [54, 60, 62, 74, 78, 82])
(51, 101.75, 2.75, 0.25, [-54, -60, -62, 72, 78, 81])
(52, 102, 1, 0.25, [43, 55, 77, 81, 71])
(52, 102.25, 1.25, 0.25, [-43, -55, 74, -71])
(52, 102.5, 1.5, 0.25, [55, 59, 62, 77, -71])
(52, 102.75, 1.75, 0.25, [-55, -59, -62, 77, 79, 71])
(52, 103, 2, 0.25, [38, 50, 77, -79, -71])
(52, 103.25, 2.25, 0.25, [-38, -50, 81, -71])
(52, 103.5, 2.5, 0.5, [39, 51, 77, 79, 71])
(53, 104, 1, 0.25, [40, 52, 81, 72, 76])
(53, 104.25, 1.25, 0.25, [-40, -52, 79, -72, -76])
(53, 104.5, 1.5, 0.25, [58, 60, 64, 76, -72, -76])
(53, 104.75, 1.75, 0.25, [-58, -60, -64, 84, 72, 76])
(53, 105, 2, 0.25, [36, 48, -84, -72, -76])
(53, 105.25, 2.25, 0.25, [-36, -48, 82, -72, -76])
(53, 105.5, 2.5, 0.25, [58, 60, 64, 74, 70])
(53, 105.75, 2.75, 0.25, [-58, -60, -64, 76, -70])
(54, 106, 1, 0.5, [41, 53, 0, 69, 72, 77])
(54, 106.5, 1.5, 0.25, [40, 52, 0, -69, -72, -77])
(54, 106.75, 1.75, 0.25, [38, 50, 0, -69, -72, -77])
(54, 107, 2, 0.25, [36, 48, -77, 69, 72])
(54, 107.25, 2.25, 0.25, [-36, -48, 65, 57])
(54, 107.5, 2.5, 0.25, [-36, -48, 67, 58, 64])
(54, 107.75, 2.75, 0.25, [-36, -48, 68, -58, -64])
(55, 108, 1, 0.5, [41, 53, 69, 72, 77])
(55, 108.5, 1.5, 0.25, [45, -69, -72, -77])
(55, 108.75, 1.75, 0.25, [48, -69, -72, -77])
(55, 109, 2, 0.5, [41, 53, -69, -72, -77])
(55, 109.5, 2.5, 0.25, [42, 54, 74])
(55, 109.75, 2.75, 0.25, [-42, -54, 75])
(56, 110, 1, 0.25, [43, 55, 76])
(56, 110.25, 1.25, 0.25, [-43, -55, 79, 82, 84, 86])
(56, 110.5, 1.5, 0.25, [58, 60, 64, 74])
(56, 110.75, 1.75, 0.25, [-58, -60, -64, 75])
(56, 111, 2, 0.25, [36, 48, 76])
(56, 111.25, 2.25, 0.25, [-36, -48, 79, 82, 84, 86])
(56, 111.5, 2.5, 0.25, [58, 60, 64, 74])
(56, 111.75, 2.75, 0.25, [-58, -60, -64, 75])
(57, 112, 1, 0.25, [43, 55, 76])
(57, 112.25, 1.25, 0.25, [-43, -55, 79, 82, 84, 86])
(57, 112.5, 1.5, 0.25, [58, 60, 64, -79, -82, -84, -86])
(57, 112.75, 1.75, 0.25, [-58, -60, -64, 81, 82, 84])
(57, 113, 2, 0.25, [48, 60, -81, -82, -84])
(57, 113.25, 2.25, 0.25, [-48, -60, 79])
(57, 113.5, 2.5, 0.25, [46, 58, 74])
(57, 113.75, 2.75, 0.25, [-46, -58, 76])
(58, 114, 1, 0.25, [45, 57, 77])
(58, 114.25, 1.25, 0.25, [-45, -57, 81, 84, 86])
(58, 114.5, 1.5, 0.25, [57, 60, 65, 74])
(58, 114.75, 1.75, 0.25, [-57, -60, -65, 76])
(58, 115, 2, 0.25, [36, 48, 77])
(58, 115.25, 2.25, 0.25, [-36, -48, 81, 84, 86])
(58, 115.5, 2.5, 0.25, [57, 60, 65, 74])
(58, 115.75, 2.75, 0.25, [-57, -60, -65, 76])
(59, 116, 1, 0.25, [41, 53, 77])
(59, 116.25, 1.25, 0.25, [-41, -53, 79, 81, 84])
(59, 116.5, 1.5, 0.25, [57, 60, 65, -79, -81, -84])
